Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
BES Islands,BES,Access to Clean Fuels and Technologies for cooking (% of total population),2.1_ACCESS.CFT.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES Islands,BES,Access to electricity (% of rural population with access),1.2_ACCESS.ELECTRICITY.RURAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES Islands,BES,Access to electricity (% of total population),1.1_ACCESS.ELECTRICITY.TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES Islands,BES,Access to electricity (% of urban population with access),1.3_ACCESS.ELECTRICITY.URBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES Islands,BES,Energy intensity level of primary energy (MJ/2011 USD PPP),6.1_PRIMARY.ENERGY.INTENSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
BES Islands,BES,Renewable electricity output (GWh),4.1.2_REN.ELECTRICITY.OUTPUT,,,,,,,,,,,,,,,,,,,,,,,0,0,2.2,,
BES Islands,BES,Renewable electricity share of total electricity output (%),4.1_SHARE.RE.IN.ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,0,0,1.77,,
BES Islands,BES,Renewable energy consumption (TJ),3.1_RE.CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,89.68408,100.653,112.5079,112.7886,
BES Islands,BES,Renewable energy share of TFEC (%),2.1_SHARE.TOTAL.RE.IN.TFEC,,,,,,,,,,,,,,,,,,,,,,,2.45762765,2.713608767,3.02528951,2.969876797,
BES Islands,BES,Total electricity output (GWh),4.1.1_TOTAL.ELECTRICITY.OUTPUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.7,116.3,120,126.7,
